Left Condemned?,Event Description,Right Condemned?
✔️,Demo Event 1: Example violence in City A,❌
❌,Demo Event 2: Example extremism in City B,✔️
✔️,Demo Event 3: Example criminality in City C,✔️
❌,Demo Event 4: Example misdeed in City D,❌
✔️,Demo Event 5: Example protest in City E,❌
❌,Demo Event 6: Example riot in City F,✔️
✔️,Demo Event 7: Example fraud in City G,✔️
❌,Demo Event 8: Example hate crime in City H,❌
✔️,Demo Event 9: Example assault in City I,✔️
❌,Demo Event 10: Example vandalism in City J,✔️
